sample_id,GSM,title,cell_type,hours,guide,donor,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
CART0077_RNAseq_NgsRun1_031,"""GSM8252576""","""CD8, 72h, SafeHarbor, CART0077_D1""",CD8,72,SafeHarbor,CART0077_D1,20.088029924756036,20.048153031736383,-16.728626933189155,22.90408800370901,6.167078093958095,-8.90902983586766,-13.926964293032215,-6.215953787335516,-4.434853682797126,-5.341249775154744,-4.525173333751006,0.5106810024994073,0.030561622694832334,-4.2607204045852685,0.5019319195669598,-1.482536880073695,0.8523191831872634,2.3488625597424226,1.9255306998341504,-2.626766666088587
CART0077_RNAseq_NgsRun1_032,"""GSM8252577""","""CD8, 72h, RHOG, CART0077_D1""",CD8,72,RHOG,CART0077_D1,38.269911309411135,16.55173054542995,-10.428690996549982,23.42506040584018,4.178615746051619,-1.601879528752488,-6.698880148242557,7.2413200831515825,-3.567641687238815,-2.0044314559923486,-4.829823537573958,2.8590124746364984,1.468906721636196,0.11815082893425255,2.287163803030311,-1.9401241177469186,-2.0380662378419183,-2.5047983713194184,2.293586617224362,-4.454766531445378
CART0077_RNAseq_NgsRun1_033,"""GSM8252578""","""CD8, 72h, SafeHarbor, CART0077_D2""",CD8,72,SafeHarbor,CART0077_D2,31.130227028110657,16.925402893401646,-11.841532748238665,22.293245975800478,6.228750017037782,-1.560612502543562,8.328918878486913,-2.201744492798167,-3.6817182853774546,-6.497331317149457,-3.9952989312781284,-1.090505888419837,-7.552834238067104,-4.96627720280807,-1.5055457984958822,-0.6091836548387994,1.6085910979739364,-2.245637915313044,4.276627271977362,-1.0812094192010875
CART0077_RNAseq_NgsRun1_034,"""GSM8252579""","""CD8, 72h, RHOG, CART0077_D2""",CD8,72,RHOG,CART0077_D2,50.446893582842385,13.386274429059993,-3.271417573029118,19.34106615050071,3.941631357172462,6.444200077026588,13.747487469535892,14.66374884372739,-1.6859501518419953,-1.2943356173917036,-2.847825907708066,1.462031716048285,-3.2113788058035726,-0.4426749985551113,0.8042132418030713,-3.25818581597032,-2.463629338866357,-5.110026550892839,-2.5847093593644876,-0.6191139752529364
CART0077_RNAseq_NgsRun1_035,"""GSM8252580""","""CD8, 72h, SafeHarbor, CART0077_D3""",CD8,72,SafeHarbor,CART0077_D3,50.051161883467444,15.695270543620783,-1.3027486147484428,17.759897528229857,0.5502680745198704,22.343062571773842,5.363138796794486,12.681316561513267,0.4700651615498349,-1.3483121510712244,-5.283633202074033,-1.3539422384499833,2.0436548133261105,1.4705648635029345,-1.5358417088895915,0.5930146233911172,1.3823910181317072,3.464437197865478,1.92145479439643,0.35054253923731243
CART0077_RNAseq_NgsRun1_036,"""GSM8252581""","""CD8, 72h, RHOG, CART0077_D3""",CD8,72,RHOG,CART0077_D3,51.019448355684474,14.6797833458936,-1.1204588974718197,14.54072750522601,0.40918069419360914,24.229641056707084,7.67388902743899,17.142010186389502,2.1549752490764273,0.6871436878523194,-4.846528593397443,-1.2094751119438207,4.069683135891693,-0.19743430314647697,-1.0510801062205497,-0.7813636981672772,-3.8092399524437868,-0.5389285328635038,-2.3421842668957007,1.1905985369223753
CART0077_RNAseq_NgsRun1_037,"""GSM8252582""","""CD4, 168h, SafeHarbor, CART0077_D1""",CD4,168,SafeHarbor,CART0077_D1,-28.287477325017036,39.0628800448826,5.778270739297172,-13.542928319524801,-11.35869383186197,-11.16176250725767,-5.277471247957972,9.142972034755076,6.918265338345085,4.521590471190495,-4.109920432439316,1.9887282744255341,-1.7556870421628956,-1.3506610198283842,1.0824627975309253,5.13104001971419,-3.4443427945107556,0.36876999282605183,0.9601967613995981,-1.518209566497965
CART0077_RNAseq_NgsRun1_038,"""GSM8252583""","""CD4, 168h, RHOG, CART0077_D1""",CD4,168,RHOG,CART0077_D1,-26.771653253111236,40.34819581393633,4.77448245398605,-14.78375214935873,-11.837651539850404,-11.183231681601002,-5.874866234475617,9.468796035935176,6.043969878474951,4.757024431530838,-4.513394738610476,3.422567691193821,-2.724446068525248,-0.8188201198862631,4.651685789547241,1.7491839515537688,-1.5770691241376906,-0.8999211792043932,0.28052393978938617,1.5069286246264295
CART0077_RNAseq_NgsRun1_039,"""GSM8252584""","""CD4, 168h, SafeHarbor, CART0077_D2""",CD4,168,SafeHarbor,CART0077_D2,-29.53538880692621,37.048965322157606,2.319077894943833,-12.65604829317765,-8.401456311660972,-8.995684807240927,14.032940195371934,-3.641883105207657,3.4726744016748516,4.2869504394318945,-2.9154902952213226,0.3270818426097607,-1.3454893282507685,0.00847784423333147,-8.288249157114334,0.8286081738178814,-1.564597513514308,1.9099567900821266,0.717041093148302,-5.312212679005076
CART0077_RNAseq_NgsRun1_040,"""GSM8252585""","""CD4, 168h, RHOG, CART0077_D2""",CD4,168,RHOG,CART0077_D2,-23.02580659087997,43.27984342088641,-2.0161636608333353,-17.388408580154596,-9.72648679644087,-10.27910964390722,10.818817204191467,-2.9913213183390073,3.0110031129401205,4.369566658257765,-1.2958256988571417,3.7130476104138403,-3.3629063576718723,3.70365199026948,-3.0953716489177663,-6.227618289365236,-0.865579693700696,1.5289812577778223,1.9235006226727942,3.5376783402420506
CART0077_RNAseq_NgsRun1_041,"""GSM8252586""","""CD4, 168h, SafeHarbor, CART0077_D3""",CD4,168,SafeHarbor,CART0077_D3,-26.835758010013844,38.44484036839651,5.7737093638632695,-13.146911516489416,-16.93346291824571,10.285269978173828,-2.4847386765075985,-5.937614699054543,7.96908997445226,0.11617758188360211,-4.898101609519656,-3.5559424059531,-2.904650697354212,-0.5259999472596734,2.6158430409179587,-0.982486237967135,3.413313437686781,-0.2907469095024436,-0.6030819623341221,-3.2617586760769557
CART0077_RNAseq_NgsRun1_042,"""GSM8252587""","""CD4, 168h, RHOG, CART0077_D3""",CD4,168,RHOG,CART0077_D3,-19.032208747528777,39.75294416143013,-4.709504678173463,-13.163269718528097,-17.529412123825864,9.643130601005081,-3.7180815105949754,-8.158382783001292,8.323646913642,-2.853310117335887,-1.3704045244563714,-7.723729710125874,-2.63665507134446,0.4477901332720103,3.8606531123169634,-6.3638551692438865,2.783902619633313,-0.5237038372915096,-0.029594359739713902,1.2732944926047205
CART0077_RNAseq_NgsRun1_043,"""GSM8252588""","""CD8, 168h, SafeHarbor, CART0077_D1""",CD8,168,SafeHarbor,CART0077_D1,-30.871424673131905,36.853331862032974,-3.6749466031920703,-13.062822378072962,15.222409399316811,-4.519277399966927,-7.811719156298569,10.96750348757479,-4.262366515221261,-1.0022607570888817,1.7275994552947314,1.0772156618550273,2.627331646827055,-1.6703047454916933,2.6852678599923543,6.764167698804386,0.011713565079184357,0.2791980009377468,1.4203385315835104,-0.05248536146362618
CART0077_RNAseq_NgsRun1_044,"""GSM8252589""","""CD8, 168h, RHOG, CART0077_D1""",CD8,168,RHOG,CART0077_D1,-28.711560539454176,38.18184191438455,-5.3796647619276055,-15.161100544539,12.51110597949014,-5.19722344478691,-8.529315517867438,11.814634991063224,-4.348618574689125,-1.480832873874858,1.1607228571378134,2.101079075132111,2.3359654495011797,-1.7375037562103253,6.177092668169652,3.103091453792531,0.6552890431662033,-1.655627688257247,0.008539787085382666,3.7042905519945286
CART0077_RNAseq_NgsRun1_045,"""GSM8252590""","""CD8, 168h, SafeHarbor, CART0077_D2""",CD8,168,SafeHarbor,CART0077_D2,-33.7171942878027,34.93598383386916,-6.416064572591083,-12.459331503050034,19.08300859909456,-2.603627183343477,11.090120187253975,-1.2999906438071307,-7.77658216742475,-0.599889106980283,4.291157842893199,0.8112994877655584,1.7627067180858205,0.01394523307094019,-6.370231496736288,2.3649210812373007,-1.9505151644938346,1.9916061423153177,0.010339787449599035,-4.209333046533114
