,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,quadrant_PC1_PC2,GSM,title,cell_type,hours,guide,donor,effector_score,reg_score,d_eff,d_reg,dt,step_distance,speed_per_hour,angle_rad,PC_quadrant
CART0077_RNAseq_NgsRun1_013,66.30182192023958,-15.139880430272957,4.645059332150402,-9.138850299540213,1.1443532491807649,-13.10454182792994,-7.986229185332796,-7.655430407605359,-2.1087476731079224,0.4386845600281001,-1.2383501352742048,-2.224723936412959,0.9117397281760036,6.186298528402968,-0.8059376206385598,1.3079891385092186,-1.0504967841434674,-3.768298426041324,3.4028683031856284,-1.252716006163329,Q4,"""GSM8252558""","""CD4, 24h, SafeHarbor, CART0077_D1""",CD4,24.0,SafeHarbor,CART0077_D1,0.38215949519463516,0.01619574537186963,-0.16272073609735954,0.2425399411722355,24.0,0.29206790480964867,0.012169496033735362,2.161725936735808,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_014,72.82874029974751,-16.105588021439804,8.461222872331271,-11.271583913013902,1.1850386400401027,-9.619981644725137,-5.269779932548659,-1.5264498837032656,-0.4401298065675166,2.3619728518687295,-1.5006443026265366,-1.0984445473719466,3.33003582268262,4.8754315466280795,-0.6494608362911019,-1.0979164179301584,0.1807014328211112,-5.024283909878054,-0.2165676310506456,-3.067010516687989,Q4,"""GSM8252559""","""CD4, 24h, RHOG, CART0077_D1""",CD4,24.0,RHOG,CART0077_D1,0.32533317399991696,-0.30905012962719164,-0.17301899263241016,-0.1292354367060503,24.0,0.2159568704907013,0.008998202937112555,-2.500050484487634,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_015,69.01843182683993,-15.56005560517126,5.612911446221125,-7.485741882577594,0.0851455784421627,-8.105536760119595,6.768905260752926,-4.232094135575736,0.0315426719043533,-0.8984135981595222,1.0520301544170023,-3.1392522079334353,-5.1790958259543745,-3.266304831601117,1.029409076315112,5.048186379896906,-2.223392150034281,-5.371914661097221,1.0239982829273968,2.6302911916588503,Q4,"""GSM8252560""","""CD4, 24h, SafeHarbor, CART0077_D2""",CD4,24.0,SafeHarbor,CART0077_D2,0.19058143874491473,-0.14919657308331774,-0.3662281571260292,-0.14882553818408523,24.0,0.39531266598442066,0.016471361082684193,-2.7556037020958515,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_016,75.95258297559776,-15.779093659935876,9.6611172138792,-11.891564757378402,-0.708928951957278,-5.762058309582396,6.722010648461382,0.605405494847208,1.4269601462250063,3.444629345208533,4.508273452494991,-0.2640680713731431,-0.6549852111470671,-2.67833036129957,-0.1720087365598055,0.4464529508756136,0.5127469908715049,-5.675515038256411,-4.1006074718460725,-0.8293511586504112,Q4,"""GSM8252561""","""CD4, 24h, RHOG, CART0077_D2""",CD4,24.0,RHOG,CART0077_D2,0.17981664159698485,-0.5858490022055991,-0.27232623013827034,-0.6965041495509644,24.0,0.7478499889436614,0.03116041620598589,-1.9435115035059958,Q3: Eff- / Reg-
CART0077_RNAseq_NgsRun1_017,74.88144465294114,-16.884497925709034,9.560779297937884,-14.743242665103974,-3.9232097789520735,4.834866387720674,-1.3178577163384224,-5.436998963644517,1.584111558247996,2.9655917173498536,4.276497197017027,-1.7150091284713551,2.771572279022997,-4.140946443367524,-1.4478684371358066,0.0155053743911155,-0.1305070733625262,-0.3043957716407536,2.8513469855670817,-0.6690615812163404,Q4,"""GSM8252562""","""CD4, 24h, SafeHarbor, CART0077_D3""",CD4,24.0,SafeHarbor,CART0077_D3,0.13814815486143522,-0.05740669368394789,-0.22093682226402517,-0.5651998321056895,24.0,0.6068475341009676,0.02528531392087365,-1.9434336638195016,Q2: Eff- / Reg+
CART0077_RNAseq_NgsRun1_018,78.44979650319722,-16.40177927894859,9.80526231707952,-15.51202057542655,-4.757469362390321,6.1772644149291285,0.5702784739159208,-1.279994134186765,1.6452379812675595,3.844926862787283,6.785232226479908,0.4622971133821519,4.552839658382488,-8.616466854098862,0.4052423164265322,-3.319107011214417,1.6833479732491206,-2.393678171474949,4.01894747629851,-3.865470947930893,Q4,"""GSM8252563""","""CD4, 24h, RHOG, CART0077_D3""",CD4,24.0,RHOG,CART0077_D3,0.13795905264586933,0.16399460911465705,-0.1598930164183971,0.0025591601151579435,24.0,0.15991349536505298,0.006663062306877208,3.1255885673856185,Q2: Eff- / Reg+
CART0077_RNAseq_NgsRun1_019,71.18369426862301,-15.446135378532048,5.305000643588789,-9.234603122112649,9.312879935945068,-8.951344539910991,-8.132018403486688,-3.020846835264213,-2.4131640058079538,-3.8862172935870656,-5.608541244617415,0.1656849244138299,-1.0042400569987382,7.306986659524339,0.3942941583519071,0.2442179174645333,-0.7564613103602393,3.4040820094585067,1.9201626899570077,0.2918457932382377,Q4,"""GSM8252564""","""CD8, 24h, SafeHarbor, CART0077_D1""",CD8,24.0,SafeHarbor,CART0077_D1,0.8835807869128903,-0.3450131667428133,0.5014212917182552,-0.3612089121146829,0.0,0.6179766904823162,,-0.624266761571096,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_020,71.02836318726492,-15.73634322456422,5.307377737773928,-10.205411225346758,8.284225916442042,-9.44692024265116,-8.405053360433284,-3.1239532182351453,-2.3942916221574952,-1.7428011662517608,-5.092712223637976,0.9903965417390704,1.1142196178042303,8.231822600341225,0.5219155547719914,-1.9767016838579825,-0.6521844003156377,0.8760845321571876,-0.0991285773434565,-1.4402439743227051,Q4,"""GSM8252565""","""CD8, 24h, RHOG, CART0077_D1""",CD8,24.0,RHOG,CART0077_D1,0.8035884521523725,-0.20576310471477086,0.47825527815245555,0.10328702491242078,0.0,0.4892814329155989,,0.21269958675149547,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_021,73.37520417907179,-14.62320790196116,6.312399897697206,-7.889101031107193,8.832907454829751,-4.965270944900197,4.758158854937956,-0.798762533841046,-0.9842572742392948,-4.490858376254491,-1.9697252748310228,0.4518981855094776,-6.730717788747675,-0.1097718632981494,1.5158919345503032,3.2229914063963765,-1.5340439241112704,3.3953593642694444,-2.501389201346583,4.720125728840452,Q4,"""GSM8252566""","""CD8, 24h, SafeHarbor, CART0077_D2""",CD8,24.0,SafeHarbor,CART0077_D2,0.8866567528883129,-0.6347673732825219,0.6960753141433982,-0.4855708001992041,0.0,0.848704804373067,,-0.6091024518261188,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_022,74.64434312519383,-14.951378530511306,7.533701927830876,-10.06112046783194,7.074262975904639,-5.026497969466037,3.8921253673133545,-0.003420340858898,-0.277559357590186,-1.7607804513393823,-0.1552701666084854,1.9819545261156284,-3.5237692888115215,1.686358013804382,0.9886449059225806,-0.3796973455207332,-0.7828180958857138,0.5691444758396644,-5.994060126877129,1.618788717727532,Q4,"""GSM8252567""","""CD8, 24h, RHOG, CART0077_D2""",CD8,24.0,RHOG,CART0077_D2,0.8183921449400673,-0.5199438804135424,0.6385755033430824,0.06590512179205665,0.0,0.6419674123725416,,0.10284235435058894,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_023,80.1639470351501,-16.68680189948342,10.909149797940056,-14.292123368057313,4.378122952034198,8.739500044193852,-0.359492107995469,1.7172208349082534,2.0688457419942745,-1.408353565519289,-0.7190664837623993,1.5047159859105297,1.0433957244131695,-4.721435650240289,-0.7425711107591875,-1.1162701051477126,0.8454849213074782,7.952750395832229,0.0983125325508968,0.7752034787321826,Q4,"""GSM8252568""","""CD8, 24h, SafeHarbor, CART0077_D3""",CD8,24.0,SafeHarbor,CART0077_D3,0.7362973731552532,-0.4067560983358492,0.598149218293818,-0.3493494046519013,0.0,0.6926958162686876,,-0.528609437595601,Q1: Eff+ / Reg+
CART0077_RNAseq_NgsRun1_024,79.08966430451922,-16.484952188455175,9.98766475292563,-14.307193989114785,3.8060640020723695,9.100144815801864,-0.3900653982120348,1.5476003832816012,2.3625557161441346,-0.347864806377378,0.3366635766459004,1.6615138380102803,1.624053118173001,-5.485061720751316,-1.1885561732482497,-1.456933221313954,1.9006336607554215,6.000280060253669,-1.1041512614653752,0.8228059085224548,Q4,"""GSM8252569""","""CD8, 24h, RHOG, CART0077_D3""",CD8,24.0,RHOG,CART0077_D3,0.7554275169852246,-0.15812578008758907,0.6174684643393553,-0.3221203892022461,0.0,0.6964401263521568,,-0.4808400886268137,Q1: Eff+ / Reg+
CART0077_RNAseq_NgsRun1_025,16.302651756640017,23.17791970537484,-14.044412788569163,23.203115036644313,-10.748891737405442,-16.02654203593456,-14.62911220564832,-14.539902686608034,0.013024037987098,3.179167162287654,1.895560804813039,0.7833234636160076,2.454455302308956,-3.228476665009017,-1.9588066513539293,0.7111439579667994,1.9099569876133295,3.928086137186601,-4.912321764312027,2.231486533086388,Q1,"""GSM8252570""","""CD4, 72h, SafeHarbor, CART0077_D1""",CD4,72.0,SafeHarbor,CART0077_D1,0.15172231123499882,0.29552993805710903,-0.7318584756778915,0.6405431047999224,48.0,0.972580226782496,0.020262088057968666,2.422633477903331,Q3: Eff- / Reg-
CART0077_RNAseq_NgsRun1_026,20.869866844989396,19.794301571108765,-14.396847772898376,22.556573794387106,-8.858108881084693,-15.413501911752563,-14.960577343414876,-14.18963750920128,-1.0794285102219483,2.3709785859330665,1.5881217604047162,2.4928108135270635,4.559292647984841,-2.0170071739829742,-0.5004148945761161,-1.080687564733769,3.646528508530926,0.1014777470612043,-5.086132904387434,0.4733949072537007,Q1,"""GSM8252571""","""CD4, 72h, RHOG, CART0077_D1""",CD4,72.0,RHOG,CART0077_D1,0.19340142221852372,0.20155528354309543,-0.6101870299338488,0.40731838825786626,48.0,0.7336460188077609,0.01528429205849502,2.5529923235969805,Q3: Eff- / Reg-
CART0077_RNAseq_NgsRun1_027,26.525234737162872,21.387129436689005,-10.179211498852556,22.56048029926777,-9.51255589206357,-6.780776214233043,8.944138819747286,-6.809107199715991,-0.2675829905989178,0.5585675010151898,2.851411066049842,-1.04502112535659,-7.447334833756453,-1.9710383787245664,-3.611217359441396,3.1570334113067737,-3.690183723273121,-0.7888155397711102,1.1581320405471554,2.1010754555899944,Q1,"""GSM8252572""","""CD4, 72h, SafeHarbor, CART0077_D2""",CD4,72.0,SafeHarbor,CART0077_D2,0.08266567433038718,0.26892011659852255,-0.8039910785579257,0.9036874898810444,48.0,1.2095671679440705,0.025199315998834803,2.2978794320775195,Q3: Eff- / Reg-
CART0077_RNAseq_NgsRun1_028,37.67586552867428,18.682591307058,-8.04754436807015,21.882542767388056,-9.67653700543042,-3.4281138509503606,8.09014477518774,0.5784428641020339,-1.4405780404747814,3.3081954655805306,8.25807055471823,2.334833977774472,-2.5469665880641816,4.033181032973675,0.7389987602568073,1.2469395597621475,-0.4725234050697006,-2.7874442196658444,-1.782449112282783,0.7976812744241888,Q1,"""GSM8252573""","""CD4, 72h, RHOG, CART0077_D2""",CD4,72.0,RHOG,CART0077_D2,0.21505249864518522,0.09146878014672331,-0.6033396462948821,0.6114126605602658,48.0,0.8589785621798813,0.017895386712080862,2.3495487770128793,Q3: Eff- / Reg-
CART0077_RNAseq_NgsRun1_029,37.76990918176879,20.08259168210106,-6.78587800141641,18.686085994166827,-15.284409812234562,12.009940536577126,-3.0122323907999773,-5.167718653352885,1.2373181716042796,2.4383282487065103,6.564858743461998,-1.1912628434202546,1.714541359454727,3.978277119629345,1.1276166470762896,0.7830155465357842,-4.886867209868738,3.704517922506969,3.040890378113424,0.5053294587080253,Q1,"""GSM8252574""","""CD4, 72h, SafeHarbor, CART0077_D3""",CD4,72.0,SafeHarbor,CART0077_D3,0.20981109018298727,0.5029888466577921,-0.526486282972266,0.9097449449936412,48.0,1.0511059276302441,0.02189804015896342,2.095420711194228,Q2: Eff- / Reg+
