,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,quadrant_PC1_PC2
CART0077_RNAseq_NgsRun1_029,-73.18421464006126,-58.484860013190215,27.74294918989914,-65.73180075242296,-30.178937470488318,18.108308851412314,-17.798438081499167,-43.17911943796336,-11.62033230963864,-3.761717714091065,-18.994890349584093,-17.888951265807574,9.937503917877729,-11.102992568727588,8.955394896634255,-2.154829147159588,-6.523105426436254,-1.8978459962249792,5.446366171461494,6.75742963164774,Q3
CART0077_RNAseq_NgsRun1_030,-85.62950922541232,-64.82523592760411,11.025495355086544,-63.62360522992532,-61.00795702264111,-22.489899254780976,-16.3503257344274,-10.01115546183737,-51.808459103445976,-34.92390434410419,-62.58754152033766,-1.523553281805819,-47.09641485560154,-68.55732435894514,7.566832523625297,35.87448004886625,74.0749669559886,-24.590727789737922,14.938500731854452,-15.34831252812591,Q3
CART0077_RNAseq_NgsRun1_031,-47.95808877880203,-51.198096498190566,52.13658303069989,-55.71346543766745,37.28428456774923,42.82850714640036,-31.80195576823462,-12.02201491861753,-2.3313783124059113,-2.3493743010461805,4.319182943120976,-0.10436138621725746,9.595832675709453,-0.8292672023233298,-2.3144767112700673,-9.748854402711908,-5.613641718131955,-1.5145856288453439,-14.907205255316509,0.37063261733884956,Q3
CART0077_RNAseq_NgsRun1_032,-78.47331787426482,-47.600957491033185,38.02978604862088,-68.94727081036774,22.099358870792912,18.111283745236133,-28.807345121328378,9.994974492860608,-8.813778240310777,5.062860050464912,18.0345416709843,7.852164284183653,-2.8648731693028293,3.8017745295131715,-3.6941626216334567,1.9901667911022949,-8.297741024469207,-2.648404293132035,-18.15975891497853,-2.347859914950752,Q3
CART0077_RNAseq_NgsRun1_033,-64.00994869991631,-45.10827516067013,42.537591922105705,-63.14393007953333,26.53694303872519,13.30065625429516,25.178359345018677,-12.064265744344224,-0.42104476073563046,-1.8978790596390998,18.837301440950878,6.515101676185655,9.276644002889146,14.52786144001846,-1.0956864161011013,-29.239049845472913,-20.39144869195448,1.533156555530824,7.950699305562678,-13.629750558046322,Q3
CART0077_RNAseq_NgsRun1_034,-110.03849446790984,-43.79592807387444,8.289458690809777,-80.73484827005113,-12.324774481514073,-57.20921664949807,47.58061241520898,60.82089372328621,-27.979875478549694,-20.126180431490496,81.03592413230608,104.94641826349964,9.11175864220613,11.51687216282111,-11.079942770056727,28.902253146525258,6.999062456546729,-24.25196758471076,24.729231346234563,34.62887938866584,Q3
CART0077_RNAseq_NgsRun1_035,-105.04962472373636,-52.51692552856342,0.8062389168127506,-76.21475650122034,-30.100344591066833,-87.22157803906924,-7.943437123411779,15.648648233635756,-62.06556841058504,103.22972718070734,21.29539426792162,-74.8224711590576,-5.661047925652835,57.46900221351408,13.226648020229375,8.173723904009591,-10.929185446499533,30.52893701880653,4.9219148415863545,-7.60594646536186,Q3
CART0077_RNAseq_NgsRun1_036,-110.22306216135422,-50.270283141868084,-1.1261786534951055,-75.82855037535525,-35.18000545019797,-118.01036855029975,-5.362369199770611,56.54967845617245,127.00882741421911,-11.6796039148848,-52.6042526091907,-6.058804161289756,-11.088949807158082,-15.31355219289507,-19.62933957281998,-14.71464240179933,-33.96684050114288,-1.2948478345711012,-16.990826928905776,-15.043848541494773,Q3
CART0077_RNAseq_NgsRun1_037,63.85696376008084,-109.24011284841681,-22.25186119274519,37.97584098507418,-15.005978075243755,26.499508724618206,-17.944666048040105,32.9497510920449,12.346016412728686,-2.3241207718076473,3.710226199544166,-3.426304751300683,8.561233393487667,-0.13271798559357872,3.156817759591159,1.3474208238388699,-3.0112146912532434,11.507544854620773,-10.3387191444484,11.182414292985987,Q4
CART0077_RNAseq_NgsRun1_038,59.693844629875215,-116.97977610316609,-24.076135681433342,44.79203321450896,-24.884854553332556,30.55527870326371,-22.270145828747346,38.942647606734916,10.924866187588977,-1.835168825338819,-4.201272181585418,8.081413016034368,23.46404089510732,10.579097877066058,2.3169834684275927,-6.928245475434181,-11.155913852295779,17.244155160920283,-31.16472505960139,19.43973988501278,Q4
