Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,UV Response Dn,26/144,0.0427849940877356,0.0806332580884248,0,0,1.5075641952499532,4.751190839456542,NRP1;IRS1;ITGB3;ADD3;LTBP1;SLC7A1;FBLN5;RXRA;PRKAR2B;MYC;PDLIM5;CDON;PDGFRB;DMAC2L;ANXA2;SFMBT1;PRKCE;DYRK1A;SYNJ2;ACVR2A;VAV2;TGFBR3;ADORA2B;SCN8A;COL5A2;BMPR1A
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,32/200,0.1061803448690908,0.1794081689167397,0,0,1.3025675828526184,2.921159246089009,PTGER4;PPP1R15A;TNFAIP8;CD83;CSF2;IRS2;TNF;SLC2A6;FUT4;RELB;SOCS3;MYC;CCL4;SLC16A6;DENND5A;MSC;PDLIM5;TIPARP;LIF;TAP1;SERPINB8;KLF2;NFKBIA;CXCL10;TUBB2A;IRF1;MAFF;KLF9;CD69;IL7R;ATF3;HBEGF
MSigDB_Hallmark_2020,Hypoxia,32/200,0.1061803448690908,0.1794081689167397,0,0,1.3025675828526184,2.921159246089009,PPP1R15A;TES;SLC2A1;STC1;NEDD4L;CXCR4;PYGM;IRS2;ENO1;NDRG1;HK1;PLAC8;LDHA;UGP2;GPC1;NOCT;PIM1;PGK1;MAP3K1;ANXA2;TIPARP;TGFB3;B3GALT6;TPST2;KLF7;ADORA2B;MAFF;BCL2;MYH9;S100A4;ATF3;PFKP
MSigDB_Hallmark_2020,Oxidative Phosphorylation,32/200,0.1061803448690908,0.1794081689167397,0,0,1.3025675828526184,2.921159246089009,OAT;NDUFB7;NDUFB6;TIMM13;NDUFB2;MRPL15;TIMM10;PDHB;MRPL35;HSD17B10;MRPL11;TIMM50;LDHA;GRPEL1;ATP6V1H;ATP6V1C1;IDH3A;NDUFA9;TIMM8B;ATP6V1G1;NQO2;NDUFA6;ATP5PB;NDUFC2;PDP1;POR;NDUFS6;OGDH;CYCS;BAX;SLC25A4;FXN
MSigDB_Hallmark_2020,Coagulation,22/138,0.1618318478513437,0.264325351490528,0,0,1.2957277276188404,2.359776045155411,CFD;ANXA1;GSN;WDR1;CPQ;ITGB3;USP11;FN1;FURIN;CRIP2;CTSV;CLU;DUSP14;KLF7;RABIF;CAPN5;MAFF;CAPN2;CTSH;CD9;TIMP1;LGMN
MSigDB_Hallmark_2020,TGF-beta Signaling,9/54,0.2484477418296027,0.3927077209564688,0,0,1.3650058846606512,1.9008017482857225,PPP1R15A;SKI;SMAD1;SLC20A1;HDAC1;FURIN;TGFBR1;PPP1CA;BMPR1A
MSigDB_Hallmark_2020,Angiogenesis,6/36,0.3097838379214059,0.4743565018171529,0,0,1.364576802507837,1.5991209752980815,NRP1;COL5A2;STC1;S100A4;TIMP1;VAV2
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,6/42,0.4533373691157077,0.673137305656657,0,0,1.136755485893417,0.8993085068701412,HDAC2;MYC;LEF1;AXIN1;AXIN2;TP53
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,26/200,0.4964120509086697,0.7154173674860239,0,0,1.0190662962357684,0.7137020098739101,CXCL8;MCM7;ITGB3;PLOD1;FBLN2;LOXL1;FBLN5;MYLK;CDH2;SGCB;ANPEP;GPC1;FLNA;TIMP1;PDGFRB;MAGEE1;TPM4;IL15;IGFBP4;FN1;EMP3;TGFBR3;COL5A2;VIM;MYL9;SNTB1
MSigDB_Hallmark_2020,Pperoxisome,13/104,0.5796497214005719,0.7696812989415234,0,0,0.9739545326971654,0.53112787830798,TOP2A;SMARCC1;ABCC5;CTPS1;BCL10;IDE;CLN6;STS;MSH2;PRDX1;ITGB1BP1;HRAS;SLC25A4
MSigDB_Hallmark_2020,Myogenesis,25/200,0.5811879196089054,0.7696812989415234,0,0,0.9738311431955332,0.5284797879049101,RB1;CFD;VIPR1;PYGM;CLU;CACNA1H;MYLK;MB;KCNH2;SVIL;NQO1;PRNP;GSN;PTGIS;DMPK;TPM3;SORBS3;GNAO1;ADCY9;KLF5;PC;BIN1;PICK1;MYH9;HBEGF
MSigDB_Hallmark_2020,Apical Junction,25/200,0.5811879196089054,0.7696812989415234,0,0,0.9738311431955332,0.5284797879049101,IRS1;AMIGO1;ICAM2;ACTB;ACTG1;CNN2;EPB41L2;RSU1;PLCG1;LDLRAP1;HRAS;CD99;JAM3;CD276;KCNH2;ITGA3;ACTN4;TUBG1;SORBS3;VAV2;MAPK11;ITGA10;MYH9;PFN1;MYL9
MSigDB_Hallmark_2020,Hedgehog Signaling,4/36,0.6931392885116487,0.8937848720281787,0,0,0.8520947533281128,0.3123134385064123,NRP1;CRMP1;MYH9;L1CAM
MSigDB_Hallmark_2020,KRAS Signaling Up,23/200,0.7390250272664386,0.9284385492991556,0,0,0.8849998328485943,0.2676447400568131,PPP1R15A;NRP1;SPON1;ST6GAL1;ACE;MAP3K1;CSF2;ATG10;LIF;AMMECR1;EMP1;CXCR4;NAP1L2;IKZF1;ETV4;CXCL10;NIN;ANKH;HKDC1;EPB41L3;IL7R;TRIB2;HBEGF
MSigDB_Hallmark_2020,Spermatogenesis,15/135,0.7579090198360454,0.9284385492991556,0,0,0.8514549744396382,0.236016445242169,RPL39L;SLC12A2;ACE;TALDO1;IDE;SEPTIN4;PIAS2;NCAPH;IFT88;DMC1;CDK1;PSMG1;NEFH;EZH2;JAM3
MSigDB_Hallmark_2020,Notch Signaling,3/32,0.7951381636760745,0.9399696645185436,0,0,0.7050273297793374,0.1616200340532194,LFNG;ARRB1;RBX1
MSigDB_Hallmark_2020,Adipogenesis,22/200,0.8056882838730374,0.9399696645185436,0,0,0.8413851770460427,0.1817882979932305,MTCH2;CDKN2C;NDUFB7;DGAT1;ITSN1;ARAF;TALDO1;ABCB8;ATP1B3;CMBL;MRPL15;DNAJC15;MYLK;SLC5A6;POR;GRPEL1;PEMT;STOM;SLC25A10;ESYT1;SLC19A1;IDH3A
MSigDB_Hallmark_2020,heme Metabolism,21/200,0.8614423991605147,0.9581824115926892,0,0,0.7982925330802447,0.1190630053651457,DMTN;TFRC;SLC66A2;PIGQ;SLC2A1;MBOAT2;AQP3;TENT5C;KLF3;UBAC1;TRAK2;ADD2;PSMD9;KAT2B;MFHAS1;SLC25A37;CCND3;PC;E2F2;ERMAP;ABCG2
MSigDB_Hallmark_2020,Fatty Acid Metabolism,16/158,0.8720554167526202,0.9581824115926892,0,0,0.766835473897674,0.1049815445233167,GCDH;HSP90AA1;ADSL;NCAPH2;ODC1;PDHB;HSD17B10;ACAT2;INMT;LDHA;HSPH1;TP53INP2;ACOT2;CA6;GLUL;S100A10
MSigDB_Hallmark_2020,Protein Secretion,9/96,0.8799634392177759,0.9581824115926892,0,0,0.7043330041530823,0.0900665256553494,ZW10;BNIP3;ANP32E;ATP6V1H;MAPK1;KIF1B;AP3B1;CTSC;VAMP3
MSigDB_Hallmark_2020,Apical Surface,3/44,0.9327593212480436,0.9935914508946552,0,0,0.4983342083910076,0.0346880842717813,MAL;BRCA1;MDGA1
MSigDB_Hallmark_2020,Xenobiotic Metabolism,17/200,0.9782573404328482,0.9972202917244154,0,0,0.6309701227734015,0.0138703097358961,CYFIP2;SLC46A3;NQO1;IGFBP4;SLC35B1;GSR;AKR1C3;ATP2A2;TMEM97;NDRG2;POR;PC;PEMT;UPP1;PTGDS;BCAT1;PDLIM5
MSigDB_Hallmark_2020,KRAS Signaling Dn,16/200,0.9881398828309595,0.9972202917244154,0,0,0.5903602093524442,0.0070435932327419,CAMK1D;RSAD2;ZBTB16;KRT1;MX1;GPR3;UPK3B;CELSR2;TENT5C;LFNG;CD40LG;IL5;IFNG;SLC16A7;PDK2;RIBC2
MSigDB_Hallmark_2020,Bile Acid Metabolism,6/112,0.9972202917244154,0.9972202917244154,0,0,0.3845152895250488,0.0010703286231895,SULT1B1;RXRA;NEDD4;PXMP2;FDXR;NR3C2
